Time = 12:40:29.978, Vertical = 1, Distance = 15.78127, Driven = 179.2038, Gap = -1.1151.5,Speed = 26.90576
Time = 12:40:30.78, Vertical = 1, Distance = 15.78154, Driven = 182.4325, Gap = -1.10381.5,Speed = 26.90576
Time = 12:40:30.211, Vertical = 1, Distance = 15.78182, Driven = 185.6612, Gap = -1.0926011.5,Speed = 26.90576
Time = 12:40:30.343, Vertical = 1, Distance = 15.78211, Driven = 188.8899, Gap = -1.0814011.5,Speed = 26.90576
Time = 12:40:30.446, Vertical = 1, Distance = 15.78241, Driven = 192.1187, Gap = -1.0702021.5,Speed = 26.90576
Time = 12:40:30.576, Vertical = 1, Distance = 15.78271, Driven = 195.3474, Gap = -1.0590021.5,Speed = 26.90576
Time = 12:40:30.676, Vertical = 1, Distance = 15.78303, Driven = 198.5761, Gap = -1.0478031.5,Speed = 26.90576
Time = 12:40:30.808, Vertical = 1, Distance = 15.78335, Driven = 201.8048, Gap = -1.0366031.5,Speed = 26.90576
Time = 12:40:30.940, Vertical = 1, Distance = 15.78368, Driven = 205.0335, Gap = -1.0254041.5,Speed = 26.90576
Time = 12:40:31.60, Vertical = 1, Distance = 15.78401, Driven = 208.2622, Gap = -1.0142041.5,Speed = 26.90576
Time = 12:40:31.178, Vertical = 1, Distance = 15.78436, Driven = 211.4909, Gap = -1.0030051.5,Speed = 26.90576
Time = 12:40:31.279, Vertical = 1, Distance = 15.78471, Driven = 214.7197, Gap = -0.99180531.5,Speed = 26.90576
Time = 12:40:31.408, Vertical = 1, Distance = 15.78507, Driven = 217.9484, Gap = -0.98060581.5,Speed = 26.90576
Time = 12:40:31.541, Vertical = 1, Distance = 15.78544, Driven = 221.1771, Gap = -0.96940641.5,Speed = 26.90576
Time = 12:40:31.645, Vertical = 1, Distance = 15.78581, Driven = 224.4058, Gap = -0.95820691.5,Speed = 26.90576
Time = 12:40:31.777, Vertical = 1, Distance = 15.7862, Driven = 227.6345, Gap = -0.94700741.5,Speed = 26.90576
Time = 12:40:31.880, Vertical = 1, Distance = 15.78659, Driven = 230.8632, Gap = -0.93580791.5,Speed = 26.90576
Time = 12:40:32.11, Vertical = 1, Distance = 15.78699, Driven = 234.0919, Gap = -0.92460851.5,Speed = 26.90576
Time = 12:40:32.141, Vertical = 1, Distance = 15.7874, Driven = 237.3207, Gap = -0.9134091.5,Speed = 26.90576
Time = 12:40:32.240, Vertical = 1, Distance = 15.78781, Driven = 240.5494, Gap = -0.90220951.5,Speed = 26.90576
Time = 12:40:32.372, Vertical = 1, Distance = 15.78824, Driven = 243.7781, Gap = -0.891011.5,Speed = 26.90576
Time = 12:40:32.505, Vertical = 1, Distance = 15.78867, Driven = 247.0068, Gap = -0.87981061.5,Speed = 26.90576
Time = 12:40:32.606, Vertical = 1, Distance = 15.78911, Driven = 250.2355, Gap = -0.86861111.5,Speed = 26.90576
